,Country,Track Name,Artist Name,Album Name,Popularity,Date,Markets,Danceability,Acousticness,duration,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,TSignature,Positiveness
1025,SVK,I'm Good (Blue),David Guetta,I'm Good (Blue),92,2022-08-26,AR,0.561,0.00383,175238,0.965,7.07e-06,7,0.371,-3.673,0,0.0343,128.04,4,0.304
1023,SVK,IDGAF (feat. Yeat),Drake,For All The Dogs,94,2023-10-06,AR,0.663,0.0464,260111,0.67,8.92e-05,8,0.205,-8.399,1,0.271,136.952,4,0.138
1031,SVK,Inverzia,Pil C,"S láskou, Lukáš.",56,2023-02-14,AR,0.865,0.131,204600,0.546,0.0,10,0.107,-6.534,0,0.0707,115.041,4,0.351
1048,SVK,J Lo,Kontrafakt,Real Newz,50,2019,AR,0.92,0.0852,212360,0.524,0.0,7,0.0827,-5.963,1,0.151,110.011,4,0.556
1017,SVK,Kdes to vzal?,Viktor Sheen,Planeta opic,65,2023-10-13,AR,0.737,0.174,145036,0.453,0.000189,4,0.164,-12.301,0,0.162,139.022,4,0.393
1012,SVK,Království,Viktor Sheen,Planeta opic,67,2023-10-13,AR,0.804,0.479,190588,0.518,0.0,10,0.138,-12.733,0,0.115,135.963,4,0.451
1027,SVK,Lay Low,Tiësto,DRIVE,81,2023-04-21,AR,0.705,0.18,140160,0.663,6.74e-06,9,0.0924,-5.289,0,0.0367,124.988,4,0.38
1026,SVK,Môj typ ženy,SIMILIVINLIFE,Môj typ ženy,55,2022-10-21,AR,0.765,0.764,156803,0.409,0.451,0,0.105,-8.7,1,0.227,94.899,4,0.572
1049,SVK,My Love Mine All Mine,Mitski,The Land Is Inhospitable and So Are We,97,2023-09-15,AR,0.504,0.868,137773,0.308,0.135,9,0.158,-14.958,1,0.0321,113.95,4,0.121
1015,SVK,Nemam mood,Separ,FLOWDEMORT,56,2023-03-31,AR,0.833,0.329,193636,0.797,1.13e-05,6,0.0907,-7.156,0,0.092,131.98,4,0.444
1009,SVK,Paint The Town Red,Doja Cat,Scarlet,89,2023-09-20,AR,0.864,0.255,230480,0.556,3.85e-06,2,0.112,-7.683,0,0.194,99.974,4,0.726
1005,SVK,Prada,cassö,Prada,94,2023-08-11,AR,0.638,0.001,132359,0.717,1.79e-06,8,0.113,-5.804,1,0.0375,141.904,4,0.422
1037,SVK,Praha/Vídeň,Calin,POPSTAR,60,2022-03-11,AR,0.778,0.41,162462,0.449,0.00126,6,0.105,-7.464,0,0.0339,130.007,4,0.325
1039,SVK,Probuzení,Viktor Sheen,Planeta opic,64,2023-10-13,AR,0.783,0.651,137622,0.607,5.96e-06,3,0.125,-11.703,0,0.466,142.794,4,0.555
1000,SVK,Pussy Power (feat. Porsche Boy),SIMILIVINLIFE,DVOJBODKAHVIEZDIČKA,57,2023-10-20,AR,0.9,0.0825,179557,0.737,0.267,6,0.291,-5.389,1,0.0731,133.998,4,0.489
1029,SVK,Reťaze,Separ,FLOWDEMORT,53,2023-03-31,AR,0.447,0.625,188219,0.602,0.0,2,0.1,-6.872,0,0.405,73.257,4,0.588
1013,SVK,Režim nerušit,Dollar Prync,Kures Drill,65,2023-08-18,AR,0.842,0.0984,186783,0.718,0.0,10,0.126,-4.963,0,0.307,139.977,4,0.604
1030,SVK,STFU (feat. Calin & SIMILIVINLIFE),STEIN27,PRESIDENT OF SEXICO,62,2023-08-25,AR,0.691,0.0319,152583,0.886,0.507,0,0.144,-7.679,1,0.081,151.023,4,0.481
1008,SVK,Safír,Calin,ROADTRIP,67,2023-02-03,AR,0.711,0.0737,149589,0.578,0.0,8,0.112,-7.759,1,0.0814,146.097,4,0.448
1011,SVK,Si No Estás,iñigo quintero,Si No Estás,99,2022-09-23,AR,0.537,0.827,184061,0.421,0.0,5,0.138,-8.72,1,0.0285,98.224,4,0.524
1047,SVK,Standing Next to You,Jung Kook,GOLDEN,91,2023-11-03,AR,0.711,0.0447,206020,0.809,0.0,2,0.339,-4.389,0,0.0955,106.017,4,0.816
1003,SVK,Strangers,Kenya Grace,Strangers,98,2023-09-01,AR,0.628,0.701,172965,0.523,0.00274,11,0.219,-8.307,0,0.0946,169.982,4,0.416
1033,SVK,Stroj,Peter Pann,33,51,2022-04-29,AR,0.762,0.507,210246,0.823,0.0,9,0.0958,-3.25,0,0.211,121.958,4,0.342
1002,SVK,Sunset,Separ,FLOWDEMORT,59,2023-03-31,AR,0.762,0.237,155520,0.805,0.0,1,0.11,-6.63,1,0.386,124.977,4,0.271
1043,SVK,Sweater Weather,The Neighbourhood,I Love You.,93,2013-04-19,AR,0.612,0.0495,240400,0.807,0.0177,10,0.101,-2.81,1,0.0336,124.053,4,0.398
1034,SVK,The Night We Met,Lord Huron,Strange Trails,83,2015-04-07,CA,0.545,0.969,208212,0.366,0.267,2,0.641,-9.51,1,0.0378,86.997,3,0.1
